,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,"WASHINGTON — Two American airstrikes in Somalia in February killed two civilians and injured three more, the human rights group Amnesty International has alleged in a new report. The United States Africa Command has acknowledged those strikes happened, but said they killed only terrorists with the Qaeda-affiliated group Al Shabab.",Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,"Civilian Casualties;Terrorism;United States Defense and Military Forces;AMNESTY INTERNATIONAL;United States Africa Command;Trump, Donald J;Somalia;Shabab",2020-04-01,article,World,News
0,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.","The cars arrived at the food bank in southern Dallas in a stream — a minivan, a Chevrolet Tahoe, a sedan with a busted window, a Jaguar of unclear vintage. Inside the vehicles sat people who scarcely could believe they needed to be there.",‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,Unemployment;Food Banks and Pantries;Layoffs and Job Reductions;Philanthropy;GoFundMe;Coronavirus (2019-nCoV),2020-04-01,article,U.S.,News
0,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,"Federal agents seized $29.6 million worth of illegal drugs from a tunnel used by smugglers to enter San Diego from Mexico, a cross-border passageway so sophisticated that it had ventilation, lighting and an underground rail system, the authorities said on Tuesday.","$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says","Drug Abuse and Traffic;Border Barriers;Smuggling;Immigration and Emigration;Organized Crime;Border Patrol (US);Drug Enforcement Administration;Immigration and Customs Enforcement (US);Trump, Donald J;California;Mexico;San Diego (Calif);Tijuana (Mexico)",2020-04-01,article,U.S.,News
0,Critics in Congress push to revoke the performing arts center’s piece of the stimulus package as it works to explain its response to the financial crisis.,"Facing criticism for furloughing workers after it was granted $25 million in federal coronavirus relief funding, the John F. Kennedy Center for the Performing Arts on Tuesday defended its need for the bailout and outlined its plans for the money.","As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid","Finances;Art;Coronavirus Aid, Relief, and Economic Security Act (2020);United States Politics and Government;Kennedy, John F, Center for the Performing Arts;National Symphony Orchestra",2020-04-01,article,Arts,News
0,"Mad magazine editor in chief John Ficarra makes his New York Times Crossword debut, with the able assistance of Patrick Merrell.","WEDNESDAY PUZZLE — Why, yes, look at that, it’s April 1 already. And very often, on April 1, the crossword editors pull some sort of prank on solvers — like this one — but this just isn’t the time to do that. People don’t like having their crossword messed with under normal circumstances, and they certainly don’t want it done while we are in the middle of a global pandemic. The editors get that.",Historic Town in Veszprém County,Crossword Puzzles,2020-04-01,article,Crosswords & Games,News
0,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ","WASHINGTON — The Trump administration on Tuesday announced a new rule on automobile fuel efficiency, completing the president’s rollback of Obama-era standards and gutting the federal government’s most important climate change policy.",Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,"Global Warming;Environment;Greenhouse Gas Emissions;Trump, Donald J;United States Politics and Government;Wheeler, Andrew R;Fuel Efficiency;Regulation and Deregulation of Industry;United States Economy;Transportation Department (US);Environmental Protection Agency",2020-04-01,article,Climate,News
0,"A quick purée, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.","On the first day of spring, Bryant Terry was at home in Oakland, transferring the compost from a bin in the yard to the raised beds, planting collards, mustard greens, turnips, bok choy, yu choy and early tomatoes. The tour for his new cookbook, “Vegetable Kingdom: The Abundant World of Vegan Recipes,” had been canceled in the chaos of the coronavirus. Restaurants and bars were closed — schools, too. Those who could be at home were staying put. And Terry, a cookbook author and the chef in residence of the Museum of the African Diaspora, was now, like so many parents, a full-time home-schooler.",This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,Cooking and Cookbooks;Vegetables;Broccoli;Recipes,2020-04-01,article,Magazine,News
0,"Quotation of the Day for April 1, 2020.","“We are not at war. Sailors do not need to die. If we do not act now, we are failing to properly take care of our most trusted asset — our sailors.”","Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",,2020-04-01,article,Today’s Paper,Quote
0,"Corrections that appeared in print on Wednesday, April 1, 2020.","Because of an editing error, an article on Tuesday about the Trump administration’s plans to roll back automobile fuel efficiency standards misstated the auto industry’s position on fuel economy. Although the industry has recently improved fuel economy by 2.4 percent annually, it has never said it would strengthen fuel economy standards by 2.4 percent per year.","Corrections: April 1, 2020",,2020-04-01,article,Corrections,Correction
0,"Initially dismissed by some as a Miles Davis imitator, Mr. Roney, who has died of coronavirus complications, emerged as a major musician in his own right.",This obituary is part of a series about people who have died in the coronavirus pandemic.,"Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59","Roney, Wallace;Deaths (Obituaries);Jazz;Davis, Miles;Coronavirus (2019-nCoV)",2020-04-01,article,Arts,Obituary (Obit)
0,Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",,2020-04-01,article,Briefing,briefing
