,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,A heavy rainstorm that hit Washington and nearby parts of Virginia led to flash floods and water pouring into Metro stations.,A heavy rainstorm that hit Washington and nearby parts of Virginia led to flash floods and water pouring into Metro stations.,Flash Floods Pummel Nation’s Capital,"Floods;Rain;Virginia;Capitol Building (Washington, DC)",2019-07-08,multimedia,Climate,Video
0,The National Weather Service declared a flash flood emergency for the nation’s capital and surrounding areas on Monday.,"Torrential morning rains unleashed chaos in the nation’s capital on Monday, turning Metro stations into indoor showers and sending flash floods through suburban neighborhoods, where the authorities said they had mounted dozens of water rescues.",Washington Area Hit by Heavy Rains and Flash Floods,Floods;Weather;Rain;National Weather Service;AMTRAK;Washington (DC);Fairfax County (Va);ARLINGTON (VA);Virginia,2019-07-08,article,U.S.,News
0,"Some of the original artwork for the comic strip, originated by Jim Davis in 1978, is up for grabs starting Tuesday.",How much will be bid for a cat who loves lasagna and hates Mondays?,Garfield Art Heads to  Auction,"Art;Garfield (Fictional Character);Comic Books and Strips;Davis, Jim (1945- );Cartoons and Cartoonists;Auctions;Heritage Auctions;Paws, Inc",2019-07-08,article,Arts,News
0,"The Manhattan townhouse features photos of Bill Clinton, Woody Allen and the crown prince of Saudi Arabia.","The townhouse where the financier Jeffrey Epstein is accused of engaging in sex acts with underage girls is one of the largest private homes in Manhattan, a short walk from Central Park. ",$56 Million Upper East Side Mansion Where Epstein Allegedly Abused Girls,"Epstein, Jeffrey E (1953- );Real Estate and Housing (Residential);Wexner, Leslie H;Upper East Side (Manhattan, NY);Prostitution;Human Trafficking;Child Abuse and Neglect;Clinton, Bill",2019-07-08,article,New York,News
0,Iran wants its economic sanctions lifted. The United States wants an assurance that Iran will not acquire nuclear weapons. It is time to talk.,"On Sunday, Iran announced that it had breached the limit on uranium enrichment — fissile purity of 3.67 percent required for electricity generation — detailed in the 2015 nuclear deal with the United States and other international powers. It has threatened to go further.",Winners of the Nobel Peace Prize: Here’s How to Stop War With Iran,"United States International Relations;Embargoes and Sanctions;Nuclear Weapons;United States Defense and Military Forces;Rouhani, Hassan;Iran;Middle East;Saudi Arabia",2019-07-08,article,Opinion,Op-Ed
0,The announcement means there will most likely be no new information about any potential oil and gas riches in the refuge when drilling leases are sold this year. ,"An oil services company said Monday it had no plans to conduct an aerial survey of part of the Arctic National Wildlife Refuge in Alaska this summer. As a result, there will most likely be no new information about any potential oil and gas riches in the refuge as the Trump administration moves to sell drilling leases there this year.",Arctic Refuge Likely Won’t Be Surveyed Before Oil Lease Sales,Oil (Petroleum) and Gasoline;Drilling and Boring;ARCTIC NATIONAL WILDLIFE REFUGE;Interior Department,2019-07-08,article,Climate,News
0,"Studies have shown that facial recognition software can return more false matches for African-Americans than for white people, a sign of what experts call “algorithmic bias.”","[For more coverage of race, sign up here to have our Race/Related newsletter delivered weekly to your inbox.]","As Cameras Track Detroit’s Residents, a Debate Ensues Over Racial Bias",Blacks;Black People;Facial Recognition Software;Race and Ethnicity;Computers and the Internet;Surveillance of Citizens by Government;Detroit (Mich);Police;Discrimination,2019-07-08,article,U.S.,News
0,"“I can’t say the Holocaust is a factual, historical event because I am not in a position to do so as a school district employee,” said the principal of a high school in Boca Raton, Fla.","A high school principal in Florida has been removed from his position over his refusal to state that the Holocaust was a factual historical event, saying that he had to stay “politically neutral” about the World War II-era genocide of six million Jews. ",Principal Who Tried to Stay ‘Politically Neutral’ About Holocaust Is Removed,"Spanish River Community High School (Boca Raton, Fla);Holocaust and the Nazi Era;Boca Raton (Fla);Florida;ANTI-SEMITISM;Teachers and School Employees;Education (Secondary);Latson, William",2019-07-08,article,U.S.,News
0,"The third season brought all the nostalgia, gross-outs and character-driven emotion we’ve come to expect. But the ending left some lingering questions.","This recap includes spoilers for Season 3 of “Stranger Things,” including the finale. ",‘Stranger Things’ Season 3 Recap: All’s Well That Ends Weird,Television;Stranger Things (TV Program),2019-07-08,article,Arts,News
0,The hedge fund investor appears to want the field of Democrats to remain 24 candidates strong.,"Tom Steyer, the California billionaire who toyed with the idea of a Democratic presidential campaign before announcing in January that he would not run, has changed his mind and intends to enter the 2020 contest on Tuesday, according to multiple people who have been told of his plans.",Billionaire Tom Steyer May Enter the 2020 Field as Rep. Eric Swalwell Bows Out,"Presidential Election of 2020;Campaign Finance;Political Advertising;United States Politics and Government;Democratic Party;Steyer, Thomas F;Swalwell, Eric M",2019-07-08,article,U.S.,News
