,abstract/snippet,lead_paragraph,headline,keywords,pub_date,document_type,section_name,type_of_material
0,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,Celebrities lend Biden a hand in turning out the vote in Philadelphia.,,2020-11-01,article,U.S.,News
0,Here are 20 counties in battleground states that are crucial for a White House victory.,Here are 20 counties in battleground states that are crucial for a White House victory.,The Battlegrounds Within Battlegrounds,"Presidential Election of 2020;Trump, Donald J;Biden, Joseph R Jr;Wisconsin;Pennsylvania;North Carolina;Florida;ARIZONA;Michigan",2020-11-01,multimedia,U.S.,Interactive Feature
0,"SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.","SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.","‘They’re coming after our state,’ McSally warns Arizona Republicans.",,2020-11-01,article,U.S.,News
0,"Bright, bold and utterly unconventional, both “Mister Invincible” and “Primer” flout all the “rules.”","When I was a kid, my local comic shop was in a strip mall about 10 minutes away from my home. It was one of my favorite places in the world. For 60 cents, I could buy a comic book — a ticket to a universe populated by modern-day gods.",Kids’ Graphic Novels That Turn the Superhero Genre on Its Head,"Books and Literature;Children and Childhood;Comic Books and Strips;Graphic Novels;Primer (Book);Muro, Jennifer;Krajewski, Thomas;Lusky, Gretel;Mister Invincible: Local Hero (Book);Jousselin, Pascal",2020-11-01,article,Books,Review
0,Whispering your fears to these little dolls made of rolled newspaper might help you sleep better.,"There’s a lot to worry about these days. With Covid-19 cases rising, the new darkness of standard time and the election taking place in a few days, everyone could use an extra outlet to release some anxiety. It’s the perfect week to turn your newspaper into a handful of worry dolls.",Got Worries? Make Newspaper Dolls to Catch Them,Quarantine (Life and Culture);Dolls;Handicrafts;Guatemala,2020-11-01,article,At Home,News
0,The answers to all your 2020 pandemic wedding dilemmas.,"With weddings this year being delayed, downsized or split into two — video ceremony now, party next year — many guests have some only-in-2020 etiquette questions. Should you dress up? Send a present — or two? Read on for answers to all your pandemic wedding quandaries.",Learn the Etiquette of Virtual Weddings,"Quarantine (Life and Culture);Content Type: Service;Weddings and Engagements;Videophones and Videoconferencing;Parties (Social);Customs, Etiquette and Manners",2020-11-01,article,At Home,News
0,Radio programming from around the world is available on the internet or through apps.,"Americans may not be able to travel the world because of the pandemic, but thousands of foreign radio stations are easily accessible online to bring the world to you.",Listen to the Globe,Quarantine (Life and Culture);Radio;Music,2020-11-01,article,At Home,News
0,"Whether you’re looking for a new role or just trying to expand your professional network, here’s how to use the website’s services to your full advantage.","Arguably the least fun social media platform, LinkedIn used to be the online equivalent of a professional networking event — a stodgy affair that no one really wanted to hang around. But, for the foreseeable future, the pandemic has all but eradicated most other methods of sniffing out career opportunities. Now that grabbing drinks with former colleagues or hobnobbing at work conferences is off the table, LinkedIn has been promoted from obligatory to essential.",Tap LinkedIn for Career Opportunities,Quarantine (Life and Culture);Content Type: Service;Social Media;Careers and Professions;Hiring and Promotion;LinkedIn Corporation,2020-11-01,article,At Home,News
0,"He may be considered the ultimate 007, but it took him time to find his footing, helped by a director with a taste for high living.","In 1965, at the height of James Bond mania, Sean Connery told Playboy magazine that he had no problem with another actor assuming his signature role. “Actually, I’d find it interesting to see what someone else does with it,” he said. “Lots of people could play him.”",Sean Connery: From Tentative Secret Agent to Suave Bond,"Movies;Bond, James (Fictional Character);Connery, Sean;Dr. No (Movie);Goldfinger (Movie);Thunderball (Movie);You Only Live Twice (Movie);Content Type: Personal Profile;Actors and Actresses",2020-11-01,article,Movies,News
0,"Voting day won’t bring an end to the strain of this political season, but you don’t have to let things get contentious.","From the droves of people voting by mail to the widespread protests for racial justice to the pandemic and worries about the electoral process itself, the 2020 election cycle provides “a recipe for a lot of angst” on Election Day, according to Alvin Bernard Tillery Jr., a professor of political science at Northwestern University.",Don’t Give In to ‘Election Stress Disorder’,Quarantine (Life and Culture);Content Type: Service;Presidential Election of 2020;Anxiety and Stress;Politics and Government,2020-11-01,article,At Home,News
