,Unnamed: 0,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,format_date,result,max_similarity,NYT_headline
16,12.0,7325112446040018218,2024-01-17T11:57:40,24.0,US,"Euphoria Scenes, i promise maddy i'll change, Maddy Euphoria, coffee co bendigo, Euphoria, Cassie And Nate, euphoria dialogue, euphoria iconic lines, Maddy And Nate, maddy perez",179500.0,694.0,224.0,1500000.0,euphoria szn 2 feels like it was just yesterday 🥲 #euphoria ,False,,mikaelarellano,Mikael Arellano,,,,,,False,2024-01-17,"(array([0.26802966], dtype=float32), 'Sarah Stackhouse, Star Interpreter of José Limón, Dies at 87')",0.2680296599864959,"Sarah Stackhouse, Star Interpreter of José Limón, Dies at 87"
17,13.0,7332455533682724138,2024-02-06T06:54:09,14.0,US,"mia dio, my rich husband, dating, Marriage, Rich, Married Life, Getting Married, Marry My Husband, mia dio husband, my billionaire husband",323100.0,2125.0,2874.0,4100000.0,Of course I just married him for the money #fyp #dating #husband #rich ,False,,miadio,Mia Dio,,,,,,True,2024-02-06,"(array([0.2664292], dtype=float32), 'Amarena, on the Upper East Side, Is Julian Medina’s Ode to Italy')",0.2664291858673095,"Amarena, on the Upper East Side, Is Julian Medina’s Ode to Italy"
18,15.0,7330889502996581675,2024-02-02T01:35:39,9.0,US,"aisha, Hakari From Jjk, always bet on hakari, hakari in jjk anime, Hakari And Kashimo, hakari pulling up, Hakari Theme Song, black hakari, Hakari Vs Kashimo JJK, hakari vs uraume",262700.0,1937.0,773.0,1300000.0,Hakari version 😤,False,,kawaiisofey,aishah sofey <3,,,,,,False,2024-02-02,"(array([0.2462516], dtype=float32), 'In These Novels, a Lot of Crime and Only a Little Punishment')",0.2462515980005264,"In These Novels, a Lot of Crime and Only a Little Punishment"
19,16.0,7319866057638808838,2024-01-03T08:38:50,24.0,PY,,7536.0,116.0,192.0,200500.0,🥺🕷️#migueljara #parati #viral #nancyfaria ,False,,nancyfaria5,Nancy Faria 🇵🇾🦋📐,,,,,,False,2024-01-03,"(array([0.15733305], dtype=float32), 'These Books Will Help Heal Your Relationship With Food')",0.1573330461978912,These Books Will Help Heal Your Relationship With Food
20,17.0,7310081502975364370,2023-12-07T23:49:44,11.0,AU,"larissatrofino26, Viral Sounds, sounds on trending, trending sounds on tiktok now, Vibrations Sound, Boom Sound",39000.0,103.0,206.0,253900.0,This sound 😮‍💨 #fyp#foryou#viral ,False,,larissatrofino26,Larissa Trofino 💋,,,,,,False,2023-12-07,"(array([0.24915828], dtype=float32), 'How Converting N.Y.C. Office Buildings to Homes Can Help the Environment')",0.2491582781076431,How Converting N.Y.C. Office Buildings to Homes Can Help the Environment
21,23.0,7310000101747936555,2023-12-07T18:33:58,9.0,US,"remote controlled in public girlfriend prank, remote controlled in public, remote controlled in public girlfriend, what is it finna play .. woahhhh, keeping date nights interesting, remote controlled in public girlfriend prank date, remote controlled in public girlfriend date, remote controlled underwater, finna play, what's it finna play",2500000.0,133200.0,22400.0,19400000.0,glad i “came” on this date 👀,False,,krissymfkummins,Krissy Kummins,,,,,,False,2023-12-07,"(array([0.27985957], dtype=float32), 'Man Is Arrested After Firing Gun Near Albany Synagogue')",0.2798595726490021,Man Is Arrested After Firing Gun Near Albany Synagogue
23,19.0,7324884751360314666,2024-01-16T21:14:19,38.0,US,"Middle Child, middle sibling, im the middle child, i'm the middle sibling, middle child syndrome, i'm the oldest child, i'm the middle sibling cut off, im the oldest sibling, i'm the middle child of course, sibling anthem check",3500000.0,96800.0,30700.0,22400000.0,live laugh love,False,,ina.katherine,ina,,,,,,False,2024-01-16,"(array([0.21622755], dtype=float32), 'How a Young Woman From the Ozarks Wound Up an ISIS Wife in Syria')",0.2162275463342666,How a Young Woman From the Ozarks Wound Up an ISIS Wife in Syria
24,20.0,7319299412516179243,2024-01-01T20:00:21,9.0,US,"mirandahshaul, miranda marie, igmirandahhmarie",422200.0,7392.0,2124.0,3500000.0,#igmirandahhmarie ,False,,mirandahshaul,Mimi,,,,,,False,2024-01-01,"(array([0.16757624], dtype=float32), 'Police Officers Are Charged With Crimes, but Are Juries Convicting?')",0.1675762385129928,"Police Officers Are Charged With Crimes, but Are Juries Convicting?"
26,24.0,7302911858040786219,2023-11-18T16:08:08,7.0,US,"How To Clean Ears, bobby pin, bobby pin in ear, how to clean ears correctly bobby pin, cleaning ear with bobby pin, how to clean ears with bobby pin, cleaning ear wax, q tip in ear, how to properly clean your ears, q tips",284300.0,166.0,622.0,1900000.0,Everything be sounding muffled for days 😭 #fypシ #relatable #trending #aylecia #blowthisup #viral #qtips ,False,,leci.bby,I own your fyp,,,,,,False,2023-11-18,"(array([0.2003109], dtype=float32), 'How Do I Make My Building Turn on the Heat (or Turn It Up)?')",0.2003109008073806,How Do I Make My Building Turn on the Heat (or Turn It Up)?
27,26.0,7318722296863149345,2023-12-31T06:40:36,16.0,DE,,522300.0,23900.0,3032.0,9400000.0,Da muss SIE doch dran denken😱😂!!! #viral #fürdich #foryou #foryoupage #fy #fyp #funnyvideos #couplecomedy #comdey ,False,,marie_tammo,𝐌𝐚𝐫𝐢𝐞 & 𝐓𝐚𝐦𝐦𝐨,,,,,,False,2023-12-31,"(array([0.15572126], dtype=float32), 'Living and Struggling With Long Covid')",0.1557212620973587,Living and Struggling With Long Covid
28,27.0,7335885936724692266,2024-02-15T12:45:09,9.0,US,"Megatron Family Guy, parents aren't home you know what, Mainecoon Cat, kitties, Kitten Videos, Pet Cat, pets, Cats Of TikTok, small cat, Kittens Of TikTok",12100000.0,113100.0,26700.0,66400000.0,Hes just a kitten but thats my dawg ,False,,kyle.christie,Kyle Christie,,,,,,False,2024-02-15,"(array([0.20087615], dtype=float32), 'What a Viral Post on Giraffes Says About China’s Fed-Up Investors')",0.2008761465549469,What a Viral Post on Giraffes Says About China’s Fed-Up Investors
29,29.0,7331930122397797675,2024-02-04T20:53:59,48.0,US,"car accessories, car charger, retractable car charger, 4 in 1 car charger, TikTok Shop, tiktok store shop, 4 in 1 retractable charger, bluetooth car adapter, portable charger, Charger",1200000.0,37800.0,8297.0,35800000.0,Replying to @DK BOSE this car charger soothes my OCD 😮‍💨 #tiktokshop #gadgets #caraccessories #tiktokdeals #phoneaccessories ,False,,insaneshopfinds,Insane TikTok Shop Deals 🎁,,,,,,False,2024-02-04,"(array([0.13449323], dtype=float32), 'A Dead Child, Too Much Booze and a Family in Crisis')",0.1344932317733764,"A Dead Child, Too Much Booze and a Family in Crisis"
30,30.0,7304812867675491626,2023-11-23T19:04:52,98.0,US,"Halara Leggings, halara, Halara Pants, Leggings, halara joggers, halara_official, Halara Clothing, leggings of TikTok, Leggins Outfit, Black Leggings",344400.0,8355.0,2864.0,18000000.0,When i showed these to my husband he said and i quote “oh great how much money are you going to spend on buying more of these?” #halara #halaraleggins #obsessed #tummycontrol #need #foryou #trending #trends  ,True,,alexisjohnson1019,Alexis Johnson,,,,,,False,2023-11-23,"(array([0.22508885], dtype=float32), 'Review: The Philharmonic Feasts on ‘The Planets’')",0.2250888496637344,Review: The Philharmonic Feasts on ‘The Planets’
9,,7312572200668794158,2023-12-14T16:55:02,15.0,US,"Zoe Ebarb Throwing It, zoe ebarb, Mulheres Dançando, zoe ebarb compilation, Zoe",129000.0,768.0,696.0,699900.0,Dc @emiliexpirez !!!!,False,,zoe.ebarb,Zoe🐸,,,,,,False,2023-12-14,"(array([0.26144278], dtype=float32), '‘Godard Cinema’ Review: A Convention-Defying Auteur')",,
21,,7312531368125222176,2023-12-14T14:16:30,9.0,DE,"damn i kinda miss him, i should call him, damn i kinda miss him white cream, i kinda miss him, damn i kinda miss her trend, damn i kinda miss him cream, I Miss Him, missing someone, damn i kinda miss him white, damn i kinda miss him milk",1100000.0,84800.0,16000.0,10200000.0,,False,,facebookmutti,lea kuehl❦,,,,,,False,2023-12-14,"(array([0.21158688], dtype=float32), 'The Real Reason Ron DeSantis’s Campaign Is Rotting')",,
25,,7312626714775932190,2023-12-14T20:26:40,7.0,US,,147500.0,870.0,3916.0,1500000.0,guess the last 4 digits of my phone # ☎️ @Gavin Magnus ,False,,lovealwayspiper,Piper,,,,,,False,2023-12-14,"(array([1.], dtype=float32), 'Basking in the Sunshine With Picasso and Friends Before the Deluge')",,
